id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s,key_d,key_f
13.000,4.000,1.000,4.000,9.441,1.000,10.000,4.000,0.749,0.496,0.264,0.440
13.000,4.000,2.000,4.000,10.468,0.000,10.000,4.000,0.599,0.525,0.298,0.340
13.000,4.000,3.000,4.000,11.340,1.000,20.000,4.000,0.651,0.467,0.388,0.328
13.000,4.000,4.000,4.000,12.188,1.000,30.000,4.000,0.573,0.598,0.299,0.276
13.000,4.000,5.000,4.000,13.080,1.000,40.000,4.000,0.567,0.602,0.320,0.338
13.000,4.000,6.000,4.000,14.022,0.000,40.000,4.000,0.606,0.437,0.338,0.295
13.000,4.000,7.000,4.000,14.875,0.000,40.000,4.000,0.481,0.471,0.522,0.289
13.000,4.000,8.000,1.000,15.812,0.000,40.000,4.000,0.466,0.512,0.677,0.338
13.000,4.000,9.000,1.000,16.735,0.000,40.000,4.000,0.405,0.538,0.720,0.332
13.000,4.000,10.000,4.000,17.496,0.000,40.000,4.000,0.472,0.578,0.583,0.344
13.000,4.000,11.000,3.000,18.650,1.000,50.000,4.000,0.368,0.576,0.631,0.379
13.000,4.000,12.000,3.000,19.598,0.000,50.000,4.000,0.440,0.690,0.561,0.393
13.000,4.000,13.000,3.000,20.580,1.000,60.000,4.000,0.520,0.719,0.615,0.353
13.000,4.000,14.000,3.000,21.477,1.000,70.000,4.000,0.391,0.709,0.623,0.427
13.000,4.000,15.000,3.000,22.370,0.000,70.000,4.000,0.400,0.601,0.438,0.512
13.000,4.000,16.000,3.000,23.197,0.000,70.000,4.000,0.406,0.399,0.446,0.510
13.000,4.000,17.000,4.000,24.079,0.000,70.000,4.000,0.419,0.426,0.383,0.538
13.000,4.000,18.000,4.000,24.921,1.000,80.000,4.000,0.345,0.405,0.417,0.469
13.000,4.000,19.000,4.000,25.763,0.000,80.000,4.000,0.360,0.375,0.388,0.499
13.000,4.000,20.000,4.000,26.528,1.000,90.000,4.000,0.305,0.321,0.484,0.510
13.000,4.000,21.000,4.000,27.428,0.000,90.000,4.000,0.310,0.417,0.562,0.530
13.000,4.000,22.000,4.000,28.250,0.000,90.000,4.000,0.339,0.354,0.522,0.487
13.000,4.000,23.000,4.000,29.132,1.000,100.000,4.000,0.330,0.545,0.577,0.493
13.000,4.000,24.000,4.000,29.924,1.000,110.000,4.000,0.380,0.586,0.467,0.585
13.000,4.000,25.000,4.000,30.731,0.000,110.000,4.000,0.418,0.726,0.344,0.624
13.000,4.000,26.000,4.000,31.564,1.000,120.000,4.000,0.410,0.694,0.365,0.672
13.000,4.000,27.000,4.000,32.476,0.000,120.000,4.000,0.321,0.651,0.403,0.581
13.000,4.000,28.000,4.000,33.228,0.000,120.000,4.000,0.352,0.616,0.444,0.656
13.000,4.000,29.000,1.000,34.292,1.000,130.000,4.000,0.281,0.711,0.326,0.555
13.000,4.000,30.000,1.000,35.293,1.000,140.000,4.000,0.315,0.614,0.291,0.586
13.000,4.000,31.000,1.000,36.206,0.000,140.000,4.000,0.405,0.419,0.361,0.606
13.000,4.000,32.000,1.000,37.143,0.000,140.000,4.000,0.434,0.515,0.316,0.574
13.000,4.000,33.000,1.000,38.096,1.000,150.000,4.000,0.364,0.541,0.311,0.596
13.000,4.000,34.000,1.000,38.948,1.000,160.000,4.000,0.486,0.692,0.286,0.559
13.000,4.000,35.000,1.000,39.865,0.000,160.000,4.000,0.499,0.635,0.364,0.628
13.000,4.000,36.000,1.000,40.753,0.000,160.000,4.000,0.545,0.613,0.354,0.643
13.000,4.000,37.000,1.000,41.575,0.000,160.000,4.000,0.566,0.609,0.337,0.685
13.000,4.000,38.000,4.000,42.427,1.000,170.000,4.000,0.638,0.642,0.313,0.728
13.000,4.000,39.000,4.000,43.309,1.000,180.000,4.000,0.701,0.693,0.293,0.701
13.000,4.000,40.000,4.000,44.277,1.000,190.000,4.000,0.696,0.586,0.319,0.685
13.000,4.000,41.000,4.000,45.184,0.000,190.000,4.000,0.689,0.645,0.305,0.564
13.000,4.000,42.000,4.000,46.072,0.000,190.000,4.000,0.646,0.572,0.444,0.450
13.000,4.000,43.000,4.000,46.875,0.000,190.000,4.000,0.699,0.582,0.433,0.457
13.000,4.000,44.000,4.000,47.741,1.000,200.000,4.000,0.663,0.600,0.475,0.409
13.000,4.000,45.000,4.000,48.733,0.000,200.000,4.000,0.574,0.504,0.568,0.444
13.000,4.000,46.000,4.000,49.586,0.000,200.000,4.000,0.512,0.609,0.457,0.272
13.000,4.000,47.000,4.000,50.388,0.000,200.000,4.000,0.575,0.666,0.548,0.256
13.000,4.000,48.000,3.000,51.055,1.000,210.000,4.000,0.636,0.535,0.664,0.261
13.000,4.000,49.000,3.000,51.797,0.000,210.000,4.000,0.704,0.521,0.739,0.315
13.000,4.000,50.000,3.000,52.614,0.000,210.000,4.000,0.655,0.517,0.739,0.361
13.000,4.000,51.000,3.000,53.356,1.000,220.000,4.000,0.655,0.574,0.726,0.449
13.000,4.000,52.000,3.000,54.153,1.000,230.000,4.000,0.607,0.467,0.668,0.466
13.000,4.000,53.000,3.000,54.840,0.000,230.000,4.000,0.703,0.584,0.682,0.457
13.000,4.000,54.000,3.000,55.602,1.000,240.000,4.000,0.651,0.606,0.570,0.403
13.000,4.000,55.000,3.000,56.429,0.000,240.000,4.000,0.627,0.572,0.573,0.448
13.000,4.000,56.000,3.000,57.276,0.000,240.000,4.000,0.579,0.617,0.485,0.546
13.000,4.000,57.000,3.000,58.088,0.000,240.000,4.000,0.590,0.611,0.474,0.422
