id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
6.000,1.000,1.000,2.000,0.674,1.000,10.000,2.000,0.553,0.742
6.000,1.000,2.000,2.000,1.474,1.000,20.000,2.000,0.570,0.603
6.000,1.000,3.000,2.000,2.914,1.000,30.000,2.000,0.595,0.589
6.000,1.000,4.000,1.000,3.586,1.000,40.000,2.000,0.666,0.629
6.000,1.000,5.000,1.000,4.354,1.000,50.000,2.000,0.735,0.618
6.000,1.000,6.000,1.000,5.074,1.000,60.000,2.000,0.736,0.577
6.000,1.000,7.000,1.000,5.754,1.000,70.000,2.000,0.641,0.501
6.000,1.000,8.000,1.000,7.058,1.000,80.000,2.000,0.646,0.423
6.000,1.000,9.000,2.000,7.882,1.000,90.000,2.000,0.681,0.419
6.000,1.000,10.000,1.000,9.330,1.000,100.000,2.000,0.595,0.352
6.000,1.000,11.000,1.000,10.274,1.000,110.000,2.000,0.538,0.322
6.000,1.000,12.000,1.000,11.602,1.000,120.000,2.000,0.669,0.313
6.000,1.000,13.000,1.000,12.586,1.000,130.000,2.000,0.612,0.453
6.000,1.000,14.000,1.000,13.298,0.000,130.000,2.000,0.643,0.374
6.000,1.000,15.000,2.000,14.562,0.000,130.000,2.000,0.675,0.499
6.000,1.000,16.000,2.000,15.618,1.000,140.000,2.000,0.705,0.580
6.000,1.000,17.000,2.000,16.610,1.000,150.000,2.000,0.652,0.620
6.000,1.000,18.000,1.000,18.130,1.000,160.000,2.000,0.700,0.677
6.000,1.000,19.000,1.000,18.786,1.000,170.000,2.000,0.730,0.714
6.000,1.000,20.000,1.000,19.642,1.000,180.000,2.000,0.693,0.703
6.000,1.000,21.000,1.000,20.370,1.000,190.000,2.000,0.604,0.578
6.000,1.000,22.000,1.000,21.130,1.000,200.000,2.000,0.650,0.557
6.000,1.000,23.000,1.000,21.890,1.000,210.000,2.000,0.626,0.684
6.000,1.000,24.000,1.000,22.530,1.000,220.000,2.000,0.664,0.735
6.000,1.000,25.000,2.000,24.234,1.000,230.000,2.000,0.677,0.719
6.000,1.000,26.000,2.000,25.434,0.000,230.000,2.000,0.709,0.582
6.000,1.000,27.000,1.000,26.618,1.000,240.000,2.000,0.586,0.541
6.000,1.000,28.000,1.000,27.738,1.000,250.000,2.000,0.467,0.451
6.000,1.000,29.000,1.000,28.906,0.000,250.000,2.000,0.498,0.307
6.000,1.000,30.000,1.000,29.938,1.000,260.000,2.000,0.594,0.321
6.000,1.000,31.000,2.000,31.594,0.000,260.000,2.000,0.556,0.333
6.000,1.000,32.000,1.000,32.898,1.000,270.000,2.000,0.657,0.358
6.000,1.000,33.000,1.000,33.602,1.000,280.000,2.000,0.558,0.280
6.000,1.000,34.000,1.000,34.450,0.000,280.000,2.000,0.546,0.324
6.000,1.000,35.000,2.000,35.666,0.000,280.000,2.000,0.462,0.431
6.000,1.000,36.000,2.000,36.762,1.000,290.000,2.000,0.495,0.477
6.000,1.000,37.000,2.000,37.730,0.000,290.000,2.000,0.353,0.463
6.000,1.000,38.000,1.000,38.746,1.000,300.000,2.000,0.448,0.477
6.000,1.000,39.000,1.000,39.626,0.000,300.000,2.000,0.523,0.521
6.000,1.000,40.000,2.000,40.602,0.000,300.000,2.000,0.531,0.408
6.000,1.000,41.000,1.000,41.849,0.000,300.000,2.000,0.395,0.407
6.000,1.000,42.000,2.000,43.033,1.000,310.000,2.000,0.352,0.494
6.000,1.000,43.000,2.000,44.025,1.000,320.000,2.000,0.436,0.626
6.000,1.000,44.000,2.000,44.953,0.000,320.000,2.000,0.465,0.687
6.000,1.000,45.000,1.000,45.881,0.000,320.000,2.000,0.507,0.720
6.000,1.000,46.000,1.000,46.545,0.000,320.000,2.000,0.398,0.658
6.000,1.000,47.000,2.000,47.505,0.000,320.000,2.000,0.445,0.570
6.000,1.000,48.000,1.000,48.689,1.000,330.000,2.000,0.436,0.533
6.000,1.000,49.000,1.000,49.641,1.000,340.000,2.000,0.530,0.521
6.000,1.000,50.000,1.000,50.465,0.000,340.000,2.000,0.481,0.569
6.000,1.000,51.000,2.000,51.537,1.000,350.000,2.000,0.444,0.660
6.000,1.000,52.000,2.000,52.369,1.000,360.000,2.000,0.376,0.704
6.000,1.000,53.000,2.000,53.137,0.000,360.000,2.000,0.327,0.700
6.000,1.000,54.000,2.000,54.193,1.000,370.000,2.000,0.385,0.509
6.000,1.000,55.000,2.000,54.953,0.000,370.000,2.000,0.394,0.529
6.000,1.000,56.000,1.000,55.969,1.000,380.000,2.000,0.557,0.505
6.000,1.000,57.000,1.000,56.713,1.000,390.000,2.000,0.715,0.517
6.000,1.000,58.000,1.000,57.481,0.000,390.000,2.000,0.661,0.619
6.000,1.000,59.000,2.000,58.473,0.000,390.000,2.000,0.599,0.613
6.000,1.000,60.000,2.000,59.417,1.000,400.000,2.000,0.472,0.610
6.000,1.000,61.000,2.000,60.377,1.000,410.000,2.000,0.420,0.557
6.000,1.000,62.000,2.000,61.297,1.000,420.000,2.000,0.431,0.504
6.000,1.000,63.000,2.000,62.105,0.000,420.000,2.000,0.497,0.404
6.000,1.000,64.000,1.000,62.825,1.000,430.000,2.000,0.559,0.406
6.000,1.000,65.000,1.000,63.665,0.000,430.000,2.000,0.555,0.431
6.000,1.000,66.000,1.000,64.433,1.000,440.000,2.000,0.605,0.377
6.000,1.000,67.000,1.000,65.313,1.000,450.000,2.000,0.558,0.372
6.000,1.000,68.000,1.000,66.057,1.000,460.000,2.000,0.497,0.409
6.000,1.000,69.000,1.000,66.897,0.000,460.000,2.000,0.529,0.351
6.000,1.000,70.000,2.000,67.825,1.000,470.000,2.000,0.608,0.355
6.000,1.000,71.000,2.000,68.641,1.000,480.000,2.000,0.640,0.420
6.000,1.000,72.000,2.000,69.409,1.000,490.000,2.000,0.642,0.304
6.000,1.000,73.000,2.000,70.177,0.000,490.000,2.000,0.608,0.306
