id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
4.000,2.000,1.000,1.000,3.526,1.000,10.000,2.000,0.619,0.660
4.000,2.000,2.000,1.000,4.550,0.000,10.000,2.000,0.635,0.613
4.000,2.000,3.000,2.000,5.574,1.000,20.000,2.000,0.673,0.744
4.000,2.000,4.000,2.000,6.502,1.000,30.000,2.000,0.562,0.713
4.000,2.000,5.000,2.000,7.326,0.000,30.000,2.000,0.557,0.669
4.000,2.000,6.000,1.000,8.190,1.000,40.000,2.000,0.567,0.690
4.000,2.000,7.000,1.000,9.622,1.000,50.000,2.000,0.635,0.610
4.000,2.000,8.000,1.000,10.574,1.000,60.000,2.000,0.748,0.608
4.000,2.000,9.000,1.000,11.606,0.000,60.000,2.000,0.722,0.635
4.000,2.000,10.000,1.000,12.950,1.000,70.000,2.000,0.701,0.565
4.000,2.000,11.000,1.000,13.998,1.000,80.000,2.000,0.748,0.592
4.000,2.000,12.000,1.000,15.006,0.000,80.000,2.000,0.703,0.655
4.000,2.000,13.000,1.000,15.814,1.000,90.000,2.000,0.531,0.576
4.000,2.000,14.000,1.000,16.710,1.000,100.000,2.000,0.480,0.538
4.000,2.000,15.000,1.000,17.646,1.000,110.000,2.000,0.509,0.462
4.000,2.000,16.000,1.000,18.630,0.000,110.000,2.000,0.492,0.563
4.000,2.000,17.000,2.000,19.518,0.000,110.000,2.000,0.400,0.567
4.000,2.000,18.000,1.000,20.310,1.000,120.000,2.000,0.514,0.675
4.000,2.000,19.000,1.000,21.230,1.000,130.000,2.000,0.431,0.665
4.000,2.000,20.000,1.000,22.134,1.000,140.000,2.000,0.479,0.736
4.000,2.000,21.000,1.000,23.110,0.000,140.000,2.000,0.571,0.620
4.000,2.000,22.000,2.000,24.254,1.000,150.000,2.000,0.669,0.723
4.000,2.000,23.000,1.000,25.174,1.000,160.000,2.000,0.595,0.670
4.000,2.000,24.000,1.000,26.134,1.000,170.000,2.000,0.542,0.589
4.000,2.000,25.000,2.000,27.214,0.000,170.000,2.000,0.558,0.514
4.000,2.000,26.000,1.000,28.142,0.000,170.000,2.000,0.540,0.436
4.000,2.000,27.000,2.000,29.686,1.000,180.000,2.000,0.676,0.446
4.000,2.000,28.000,2.000,30.670,1.000,190.000,2.000,0.676,0.492
4.000,2.000,29.000,1.000,31.702,0.000,190.000,2.000,0.682,0.325
4.000,2.000,30.000,2.000,32.742,0.000,190.000,2.000,0.583,0.335
4.000,2.000,31.000,1.000,34.070,0.000,190.000,2.000,0.514,0.262
4.000,2.000,32.000,1.000,34.814,0.000,190.000,2.000,0.601,0.413
4.000,2.000,33.000,1.000,35.718,1.000,200.000,2.000,0.495,0.376
4.000,2.000,34.000,1.000,36.646,1.000,210.000,2.000,0.529,0.412
4.000,2.000,35.000,1.000,37.606,0.000,210.000,2.000,0.647,0.549
4.000,2.000,36.000,2.000,38.470,1.000,220.000,2.000,0.600,0.613
4.000,2.000,37.000,2.000,39.413,1.000,230.000,2.000,0.690,0.602
4.000,2.000,38.000,1.000,40.365,1.000,240.000,2.000,0.668,0.660
4.000,2.000,39.000,1.000,41.429,1.000,250.000,2.000,0.686,0.557
4.000,2.000,40.000,2.000,42.461,0.000,250.000,2.000,0.581,0.617
4.000,2.000,41.000,1.000,43.429,0.000,250.000,2.000,0.592,0.701
4.000,2.000,42.000,1.000,44.293,0.000,250.000,2.000,0.586,0.677
4.000,2.000,43.000,1.000,45.125,1.000,260.000,2.000,0.577,0.709
4.000,2.000,44.000,1.000,46.021,0.000,260.000,2.000,0.540,0.634
4.000,2.000,45.000,1.000,46.893,0.000,260.000,2.000,0.523,0.631
4.000,2.000,46.000,1.000,47.805,1.000,270.000,2.000,0.409,0.742
4.000,2.000,47.000,1.000,48.741,0.000,270.000,2.000,0.529,0.711
4.000,2.000,48.000,2.000,49.725,1.000,280.000,2.000,0.576,0.746
4.000,2.000,49.000,2.000,50.701,1.000,290.000,2.000,0.718,0.666
4.000,2.000,50.000,1.000,51.717,1.000,300.000,2.000,0.642,0.652
4.000,2.000,51.000,2.000,52.693,1.000,310.000,2.000,0.730,0.747
4.000,2.000,52.000,1.000,53.677,1.000,320.000,2.000,0.700,0.582
4.000,2.000,53.000,1.000,54.693,1.000,330.000,2.000,0.629,0.512
4.000,2.000,54.000,2.000,55.709,0.000,330.000,2.000,0.523,0.582
4.000,2.000,55.000,1.000,56.613,0.000,330.000,2.000,0.494,0.612
4.000,2.000,56.000,1.000,57.541,1.000,340.000,2.000,0.631,0.641
4.000,2.000,57.000,2.000,58.557,0.000,340.000,2.000,0.655,0.728
4.000,2.000,58.000,1.000,59.445,1.000,350.000,2.000,0.655,0.687
4.000,2.000,59.000,1.000,60.389,0.000,350.000,2.000,0.615,0.584
4.000,2.000,60.000,1.000,61.269,1.000,360.000,2.000,0.749,0.544
4.000,2.000,61.000,1.000,62.309,1.000,370.000,2.000,0.703,0.341
4.000,2.000,62.000,1.000,63.341,0.000,370.000,2.000,0.701,0.364
4.000,2.000,63.000,1.000,64.757,1.000,380.000,2.000,0.728,0.412
4.000,2.000,64.000,1.000,65.837,1.000,390.000,2.000,0.748,0.493
4.000,2.000,65.000,1.000,66.893,1.000,400.000,2.000,0.674,0.493
4.000,2.000,66.000,1.000,67.917,1.000,410.000,2.000,0.663,0.567
