id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
6.000,3.000,1.000,1.000,3.363,1.000,10.000,2.000,0.565,0.696
6.000,3.000,2.000,1.000,4.283,1.000,20.000,2.000,0.481,0.749
6.000,3.000,3.000,1.000,5.043,1.000,30.000,2.000,0.426,0.734
6.000,3.000,4.000,1.000,5.795,1.000,40.000,2.000,0.375,0.749
6.000,3.000,5.000,1.000,6.475,1.000,50.000,2.000,0.363,0.612
6.000,3.000,6.000,1.000,7.243,1.000,60.000,2.000,0.331,0.469
6.000,3.000,7.000,1.000,7.955,0.000,60.000,2.000,0.269,0.480
6.000,3.000,8.000,2.000,8.771,1.000,70.000,2.000,0.322,0.441
6.000,3.000,9.000,2.000,9.411,1.000,80.000,2.000,0.365,0.559
6.000,3.000,10.000,2.000,10.083,1.000,90.000,2.000,0.369,0.626
6.000,3.000,11.000,2.000,10.723,1.000,100.000,2.000,0.367,0.651
6.000,3.000,12.000,2.000,11.419,1.000,110.000,2.000,0.290,0.619
6.000,3.000,13.000,2.000,12.067,1.000,120.000,2.000,0.330,0.569
6.000,3.000,14.000,2.000,12.659,1.000,130.000,2.000,0.441,0.482
6.000,3.000,15.000,2.000,13.323,0.000,130.000,2.000,0.464,0.537
6.000,3.000,16.000,1.000,14.011,1.000,140.000,2.000,0.485,0.394
6.000,3.000,17.000,1.000,14.579,1.000,150.000,2.000,0.449,0.330
6.000,3.000,18.000,1.000,15.203,0.000,150.000,2.000,0.257,0.381
6.000,3.000,19.000,2.000,15.915,0.000,150.000,2.000,0.394,0.376
6.000,3.000,20.000,2.000,16.531,0.000,150.000,2.000,0.423,0.431
6.000,3.000,21.000,1.000,17.179,1.000,160.000,2.000,0.367,0.545
6.000,3.000,22.000,1.000,17.875,1.000,170.000,2.000,0.321,0.571
6.000,3.000,23.000,1.000,18.547,0.000,170.000,2.000,0.330,0.595
6.000,3.000,24.000,2.000,19.219,1.000,180.000,2.000,0.396,0.559
6.000,3.000,25.000,2.000,19.819,1.000,190.000,2.000,0.435,0.531
6.000,3.000,26.000,2.000,20.451,1.000,200.000,2.000,0.440,0.577
6.000,3.000,27.000,2.000,21.083,1.000,210.000,2.000,0.525,0.506
6.000,3.000,28.000,2.000,21.747,0.000,210.000,2.000,0.472,0.510
6.000,3.000,29.000,1.000,22.443,0.000,210.000,2.000,0.516,0.629
6.000,3.000,30.000,1.000,23.171,0.000,210.000,2.000,0.478,0.531
6.000,3.000,31.000,2.000,24.571,0.000,210.000,2.000,0.570,0.202
6.000,3.000,32.000,1.000,25.323,1.000,220.000,2.000,0.598,0.279
6.000,3.000,33.000,1.000,25.978,1.000,230.000,2.000,0.579,0.258
6.000,3.000,34.000,1.000,26.666,0.000,230.000,2.000,0.546,0.294
6.000,3.000,35.000,2.000,27.354,0.000,230.000,2.000,0.392,0.352
6.000,3.000,36.000,2.000,28.002,0.000,230.000,2.000,0.520,0.426
6.000,3.000,37.000,1.000,28.594,0.000,230.000,2.000,0.555,0.430
6.000,3.000,38.000,1.000,29.242,1.000,240.000,2.000,0.579,0.410
6.000,3.000,39.000,1.000,29.954,0.000,240.000,2.000,0.663,0.422
