id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
4.000,4.000,1.000,1.000,0.612,1.000,10.000,2.000,0.684,0.578
4.000,4.000,2.000,2.000,1.469,0.000,10.000,2.000,0.713,0.526
4.000,4.000,3.000,1.000,2.172,1.000,20.000,2.000,0.624,0.473
4.000,4.000,4.000,1.000,2.940,1.000,30.000,2.000,0.583,0.605
4.000,4.000,5.000,1.000,3.724,0.000,30.000,2.000,0.496,0.515
4.000,4.000,6.000,2.000,4.668,0.000,30.000,2.000,0.603,0.437
4.000,4.000,7.000,1.000,5.588,1.000,40.000,2.000,0.555,0.479
4.000,4.000,8.000,1.000,6.388,1.000,50.000,2.000,0.573,0.424
4.000,4.000,9.000,2.000,7.300,1.000,60.000,2.000,0.543,0.532
4.000,4.000,10.000,1.000,8.108,1.000,70.000,2.000,0.555,0.632
4.000,4.000,11.000,2.000,8.972,0.000,70.000,2.000,0.600,0.721
4.000,4.000,12.000,1.000,9.732,0.000,70.000,2.000,0.556,0.618
4.000,4.000,13.000,1.000,10.724,1.000,80.000,2.000,0.602,0.563
4.000,4.000,14.000,1.000,11.588,0.000,80.000,2.000,0.594,0.468
4.000,4.000,15.000,2.000,12.396,0.000,80.000,2.000,0.677,0.447
4.000,4.000,16.000,2.000,13.132,0.000,80.000,2.000,0.730,0.413
4.000,4.000,17.000,1.000,14.708,0.000,80.000,2.000,0.744,0.447
4.000,4.000,18.000,1.000,15.636,1.000,90.000,2.000,0.698,0.436
4.000,4.000,19.000,1.000,16.316,1.000,100.000,2.000,0.591,0.502
4.000,4.000,20.000,1.000,17.100,1.000,110.000,2.000,0.556,0.554
4.000,4.000,21.000,1.000,17.940,1.000,120.000,2.000,0.592,0.520
4.000,4.000,22.000,1.000,18.740,1.000,130.000,2.000,0.454,0.539
4.000,4.000,23.000,1.000,19.572,0.000,130.000,2.000,0.448,0.463
4.000,4.000,24.000,2.000,20.476,1.000,140.000,2.000,0.446,0.423
4.000,4.000,25.000,1.000,21.284,0.000,140.000,2.000,0.411,0.504
4.000,4.000,26.000,2.000,22.068,1.000,150.000,2.000,0.455,0.478
4.000,4.000,27.000,2.000,22.908,1.000,160.000,2.000,0.377,0.609
4.000,4.000,28.000,2.000,23.780,0.000,160.000,2.000,0.383,0.602
4.000,4.000,29.000,1.000,24.596,0.000,160.000,2.000,0.336,0.606
4.000,4.000,30.000,1.000,25.388,0.000,160.000,2.000,0.347,0.636
4.000,4.000,31.000,2.000,26.620,1.000,170.000,2.000,0.283,0.678
4.000,4.000,32.000,2.000,27.404,1.000,180.000,2.000,0.355,0.719
4.000,4.000,33.000,2.000,28.260,1.000,190.000,2.000,0.357,0.743
4.000,4.000,34.000,2.000,29.116,1.000,200.000,2.000,0.517,0.690
4.000,4.000,35.000,1.000,29.972,1.000,210.000,2.000,0.478,0.637
4.000,4.000,36.000,2.000,30.828,1.000,220.000,2.000,0.478,0.648
4.000,4.000,37.000,1.000,31.684,1.000,230.000,2.000,0.516,0.515
4.000,4.000,38.000,1.000,32.572,1.000,240.000,2.000,0.583,0.533
4.000,4.000,39.000,2.000,33.476,0.000,240.000,2.000,0.630,0.472
4.000,4.000,40.000,1.000,34.188,1.000,250.000,2.000,0.530,0.426
4.000,4.000,41.000,1.000,35.012,0.000,250.000,2.000,0.682,0.391
4.000,4.000,42.000,2.000,35.932,0.000,250.000,2.000,0.734,0.282
4.000,4.000,43.000,1.000,36.764,1.000,260.000,2.000,0.682,0.252
4.000,4.000,44.000,1.000,37.524,0.000,260.000,2.000,0.676,0.292
4.000,4.000,45.000,1.000,38.388,0.000,260.000,2.000,0.517,0.398
4.000,4.000,46.000,2.000,39.284,1.000,270.000,2.000,0.521,0.455
4.000,4.000,47.000,2.000,40.108,1.000,280.000,2.000,0.617,0.489
4.000,4.000,48.000,2.000,40.979,0.000,280.000,2.000,0.527,0.352
4.000,4.000,49.000,1.000,41.739,1.000,290.000,2.000,0.519,0.386
4.000,4.000,50.000,1.000,42.587,0.000,290.000,2.000,0.542,0.588
4.000,4.000,51.000,2.000,43.387,1.000,300.000,2.000,0.489,0.666
4.000,4.000,52.000,2.000,44.219,1.000,310.000,2.000,0.326,0.732
