id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s,key_d,key_f
4.000,4.000,1.000,4.000,1.196,1.000,10.000,4.000,0.749,0.496,0.264,0.440
4.000,4.000,2.000,4.000,2.484,0.000,10.000,4.000,0.599,0.525,0.298,0.340
4.000,4.000,3.000,3.000,3.676,0.000,10.000,4.000,0.651,0.467,0.388,0.328
4.000,4.000,4.000,2.000,4.388,1.000,20.000,4.000,0.573,0.598,0.299,0.276
4.000,4.000,5.000,2.000,5.084,0.000,20.000,4.000,0.567,0.602,0.320,0.338
4.000,4.000,6.000,1.000,5.748,0.000,20.000,4.000,0.606,0.437,0.338,0.295
4.000,4.000,7.000,3.000,6.436,1.000,30.000,4.000,0.481,0.471,0.522,0.289
4.000,4.000,8.000,3.000,7.164,1.000,40.000,4.000,0.466,0.512,0.677,0.338
4.000,4.000,9.000,3.000,7.884,1.000,50.000,4.000,0.405,0.538,0.720,0.332
4.000,4.000,10.000,3.000,8.572,1.000,60.000,4.000,0.472,0.578,0.583,0.344
4.000,4.000,11.000,3.000,9.300,0.000,60.000,4.000,0.368,0.576,0.631,0.379
4.000,4.000,12.000,4.000,9.956,0.000,60.000,4.000,0.440,0.690,0.561,0.393
4.000,4.000,13.000,4.000,10.764,0.000,60.000,4.000,0.520,0.719,0.615,0.353
4.000,4.000,14.000,3.000,11.492,0.000,60.000,4.000,0.391,0.709,0.623,0.427
4.000,4.000,15.000,2.000,12.476,0.000,60.000,4.000,0.400,0.601,0.438,0.512
4.000,4.000,16.000,1.000,13.124,0.000,60.000,4.000,0.406,0.399,0.446,0.510
4.000,4.000,17.000,2.000,13.828,0.000,60.000,4.000,0.419,0.426,0.383,0.538
4.000,4.000,18.000,3.000,14.580,1.000,70.000,4.000,0.345,0.405,0.417,0.469
4.000,4.000,19.000,4.000,15.803,1.000,80.000,4.000,0.360,0.375,0.388,0.499
4.000,4.000,20.000,4.000,16.628,1.000,90.000,4.000,0.305,0.321,0.484,0.510
4.000,4.000,21.000,4.000,17.467,1.000,100.000,4.000,0.310,0.417,0.562,0.530
4.000,4.000,22.000,3.000,18.147,1.000,110.000,4.000,0.339,0.354,0.522,0.487
4.000,4.000,23.000,2.000,18.963,0.000,110.000,4.000,0.330,0.545,0.577,0.493
4.000,4.000,24.000,1.000,19.659,1.000,120.000,4.000,0.380,0.586,0.467,0.585
4.000,4.000,25.000,3.000,20.435,0.000,120.000,4.000,0.418,0.726,0.344,0.624
4.000,4.000,26.000,2.000,21.595,1.000,130.000,4.000,0.410,0.694,0.365,0.672
4.000,4.000,27.000,2.000,22.331,1.000,140.000,4.000,0.321,0.651,0.403,0.581
4.000,4.000,28.000,2.000,23.075,0.000,140.000,4.000,0.352,0.616,0.444,0.656
4.000,4.000,29.000,3.000,23.795,0.000,140.000,4.000,0.281,0.711,0.326,0.555
4.000,4.000,30.000,4.000,24.843,0.000,140.000,4.000,0.315,0.614,0.291,0.586
4.000,4.000,31.000,1.000,25.723,1.000,150.000,4.000,0.405,0.419,0.361,0.606
4.000,4.000,32.000,1.000,26.523,0.000,150.000,4.000,0.434,0.515,0.316,0.574
4.000,4.000,33.000,2.000,27.243,1.000,160.000,4.000,0.364,0.541,0.311,0.596
4.000,4.000,34.000,2.000,28.043,1.000,170.000,4.000,0.486,0.692,0.286,0.559
4.000,4.000,35.000,2.000,28.875,1.000,180.000,4.000,0.499,0.635,0.364,0.628
4.000,4.000,36.000,2.000,29.731,0.000,180.000,4.000,0.545,0.613,0.354,0.643
4.000,4.000,37.000,3.000,30.467,0.000,180.000,4.000,0.566,0.609,0.337,0.685
4.000,4.000,38.000,4.000,31.307,1.000,190.000,4.000,0.638,0.642,0.313,0.728
4.000,4.000,39.000,4.000,32.083,1.000,200.000,4.000,0.701,0.693,0.293,0.701
4.000,4.000,40.000,4.000,32.867,1.000,210.000,4.000,0.696,0.586,0.319,0.685
4.000,4.000,41.000,4.000,33.763,0.000,210.000,4.000,0.689,0.645,0.305,0.564
4.000,4.000,42.000,3.000,34.491,0.000,210.000,4.000,0.646,0.572,0.444,0.450
4.000,4.000,43.000,2.000,35.139,1.000,220.000,4.000,0.699,0.582,0.433,0.457
4.000,4.000,44.000,2.000,35.955,0.000,220.000,4.000,0.663,0.600,0.475,0.409
4.000,4.000,45.000,1.000,36.659,0.000,220.000,4.000,0.574,0.504,0.568,0.444
4.000,4.000,46.000,1.000,37.411,1.000,230.000,4.000,0.512,0.609,0.457,0.272
4.000,4.000,47.000,2.000,38.171,1.000,240.000,4.000,0.575,0.666,0.548,0.256
4.000,4.000,48.000,3.000,39.099,0.000,240.000,4.000,0.636,0.535,0.664,0.261
4.000,4.000,49.000,4.000,39.795,1.000,250.000,4.000,0.704,0.521,0.739,0.315
4.000,4.000,50.000,4.000,40.595,0.000,250.000,4.000,0.655,0.517,0.739,0.361
4.000,4.000,51.000,3.000,41.299,1.000,260.000,4.000,0.655,0.574,0.726,0.449
4.000,4.000,52.000,3.000,42.107,1.000,270.000,4.000,0.607,0.467,0.668,0.466
4.000,4.000,53.000,3.000,42.931,1.000,280.000,4.000,0.703,0.584,0.682,0.457
4.000,4.000,54.000,3.000,43.787,1.000,290.000,4.000,0.651,0.606,0.570,0.403
4.000,4.000,55.000,3.000,44.627,1.000,300.000,4.000,0.627,0.572,0.573,0.448
4.000,4.000,56.000,3.000,45.491,0.000,300.000,4.000,0.579,0.617,0.485,0.546
4.000,4.000,57.000,4.000,46.259,0.000,300.000,4.000,0.590,0.611,0.474,0.422
4.000,4.000,58.000,2.000,46.971,1.000,310.000,4.000,0.565,0.602,0.442,0.410
4.000,4.000,59.000,2.000,47.787,1.000,320.000,4.000,0.554,0.494,0.428,0.407
4.000,4.000,60.000,2.000,48.667,0.000,320.000,4.000,0.593,0.464,0.341,0.475
4.000,4.000,61.000,1.000,49.451,1.000,330.000,4.000,0.591,0.523,0.295,0.500
4.000,4.000,62.000,1.000,50.259,1.000,340.000,4.000,0.692,0.568,0.252,0.628
4.000,4.000,63.000,1.000,51.099,0.000,340.000,4.000,0.730,0.592,0.367,0.671
4.000,4.000,64.000,2.000,51.931,0.000,340.000,4.000,0.646,0.471,0.282,0.669
4.000,4.000,65.000,3.000,52.651,1.000,350.000,4.000,0.559,0.576,0.471,0.640
4.000,4.000,66.000,3.000,53.474,1.000,360.000,4.000,0.523,0.596,0.399,0.648
4.000,4.000,67.000,3.000,54.338,1.000,370.000,4.000,0.622,0.590,0.563,0.520
4.000,4.000,68.000,4.000,55.106,1.000,380.000,4.000,0.592,0.540,0.521,0.555
4.000,4.000,69.000,4.000,55.962,0.000,380.000,4.000,0.673,0.509,0.577,0.615
4.000,4.000,70.000,2.000,56.754,0.000,380.000,4.000,0.563,0.512,0.608,0.747
4.000,4.000,71.000,3.000,57.714,1.000,390.000,4.000,0.594,0.546,0.681,0.694
4.000,4.000,72.000,2.000,59.058,0.000,390.000,4.000,0.394,0.538,0.569,0.572
4.000,4.000,73.000,4.000,59.850,1.000,400.000,4.000,0.501,0.601,0.376,0.673
4.000,4.000,74.000,3.000,60.562,0.000,400.000,4.000,0.605,0.575,0.410,0.690
4.000,4.000,75.000,4.000,61.290,1.000,410.000,4.000,0.540,0.689,0.401,0.631
4.000,4.000,76.000,3.000,62.098,0.000,410.000,4.000,0.555,0.630,0.453,0.652
4.000,4.000,77.000,2.000,63.106,1.000,420.000,4.000,0.519,0.636,0.494,0.594
4.000,4.000,78.000,1.000,63.858,1.000,430.000,4.000,0.636,0.466,0.552,0.546
4.000,4.000,79.000,1.000,65.306,1.000,440.000,4.000,0.437,0.563,0.498,0.626
4.000,4.000,80.000,2.000,66.178,1.000,450.000,4.000,0.429,0.534,0.331,0.516
4.000,4.000,81.000,3.000,67.170,1.000,460.000,4.000,0.433,0.636,0.388,0.590
4.000,4.000,82.000,4.000,67.882,0.000,460.000,4.000,0.450,0.658,0.371,0.594
4.000,4.000,83.000,4.000,69.466,0.000,460.000,4.000,0.484,0.550,0.529,0.562
4.000,4.000,84.000,3.000,70.778,1.000,470.000,4.000,0.469,0.607,0.517,0.423
4.000,4.000,85.000,3.000,71.642,0.000,470.000,4.000,0.517,0.529,0.612,0.396
4.000,4.000,86.000,2.000,73.338,1.000,480.000,4.000,0.546,0.504,0.582,0.385
4.000,4.000,87.000,2.000,74.098,0.000,480.000,4.000,0.514,0.428,0.667,0.311
4.000,4.000,88.000,1.000,74.874,1.000,490.000,4.000,0.583,0.314,0.645,0.314
4.000,4.000,89.000,1.000,75.698,0.000,490.000,4.000,0.457,0.314,0.589,0.335
4.000,4.000,90.000,1.000,76.882,0.000,490.000,4.000,0.437,0.319,0.526,0.278
4.000,4.000,91.000,2.000,78.746,0.000,490.000,4.000,0.376,0.343,0.514,0.328
4.000,4.000,92.000,2.000,82.002,0.000,490.000,4.000,0.291,0.255,0.638,0.457
4.000,4.000,93.000,4.000,83.210,0.000,490.000,4.000,0.334,0.280,0.679,0.349
4.000,4.000,94.000,3.000,86.490,1.000,500.000,4.000,0.466,0.406,0.671,0.335
4.000,4.000,95.000,3.000,88.290,0.000,500.000,4.000,0.543,0.415,0.705,0.354
4.000,4.000,96.000,3.000,91.498,0.000,500.000,4.000,0.488,0.315,0.706,0.500
4.000,4.000,97.000,4.000,92.530,0.000,500.000,4.000,0.522,0.339,0.681,0.433
4.000,4.000,98.000,4.000,93.249,0.000,500.000,4.000,0.478,0.358,0.689,0.390
4.000,4.000,99.000,4.000,94.601,0.000,500.000,4.000,0.398,0.452,0.723,0.344
4.000,4.000,100.000,4.000,98.513,1.000,510.000,4.000,0.394,0.354,0.652,0.305
4.000,4.000,101.000,3.000,100.073,1.000,520.000,4.000,0.438,0.338,0.592,0.369
4.000,4.000,102.000,3.000,101.097,0.000,520.000,4.000,0.517,0.508,0.568,0.352
4.000,4.000,103.000,3.000,113.961,0.000,520.000,4.000,0.351,0.399,0.655,0.273
4.000,4.000,104.000,2.000,115.937,1.000,530.000,4.000,0.275,0.570,0.747,0.358
4.000,4.000,105.000,2.000,116.985,0.000,530.000,4.000,0.317,0.551,0.667,0.409
4.000,4.000,106.000,1.000,117.689,0.000,530.000,4.000,0.441,0.546,0.594,0.400
4.000,4.000,107.000,3.000,118.617,0.000,530.000,4.000,0.431,0.511,0.635,0.330
4.000,4.000,108.000,4.000,119.689,0.000,530.000,4.000,0.397,0.594,0.653,0.390
4.000,4.000,109.000,4.000,120.729,0.000,530.000,4.000,0.372,0.601,0.725,0.405
4.000,4.000,110.000,3.000,121.601,1.000,540.000,4.000,0.430,0.593,0.735,0.445
4.000,4.000,111.000,3.000,122.481,1.000,550.000,4.000,0.426,0.509,0.622,0.552
4.000,4.000,112.000,3.000,123.241,1.000,560.000,4.000,0.366,0.536,0.664,0.504
4.000,4.000,113.000,3.000,123.985,0.000,560.000,4.000,0.508,0.555,0.632,0.579
4.000,4.000,114.000,4.000,124.729,0.000,560.000,4.000,0.482,0.438,0.697,0.483
4.000,4.000,115.000,2.000,125.457,0.000,560.000,4.000,0.506,0.337,0.720,0.327
4.000,4.000,116.000,3.000,126.273,1.000,570.000,4.000,0.520,0.430,0.689,0.350
4.000,4.000,117.000,3.000,127.025,1.000,580.000,4.000,0.503,0.415,0.618,0.271
4.000,4.000,118.000,3.000,127.833,0.000,580.000,4.000,0.620,0.368,0.509,0.353
4.000,4.000,119.000,4.000,128.576,0.000,580.000,4.000,0.618,0.334,0.428,0.326
4.000,4.000,120.000,2.000,129.272,0.000,580.000,4.000,0.729,0.297,0.438,0.369
4.000,4.000,121.000,1.000,129.960,1.000,590.000,4.000,0.748,0.324,0.391,0.331
4.000,4.000,122.000,1.000,130.752,1.000,600.000,4.000,0.746,0.390,0.319,0.446
4.000,4.000,123.000,1.000,131.432,1.000,610.000,4.000,0.619,0.406,0.252,0.430
4.000,4.000,124.000,1.000,132.152,1.000,620.000,4.000,0.565,0.376,0.308,0.474
4.000,4.000,125.000,1.000,132.936,1.000,630.000,4.000,0.548,0.372,0.380,0.563
4.000,4.000,126.000,1.000,133.776,0.000,630.000,4.000,0.572,0.369,0.393,0.596
4.000,4.000,127.000,2.000,134.504,1.000,640.000,4.000,0.657,0.366,0.521,0.512
4.000,4.000,128.000,2.000,135.312,1.000,650.000,4.000,0.482,0.317,0.465,0.431
4.000,4.000,129.000,3.000,136.176,0.000,650.000,4.000,0.534,0.346,0.427,0.426
4.000,4.000,130.000,4.000,136.832,1.000,660.000,4.000,0.574,0.337,0.402,0.457
4.000,4.000,131.000,4.000,137.584,1.000,670.000,4.000,0.527,0.347,0.435,0.436
4.000,4.000,132.000,3.000,138.424,1.000,680.000,4.000,0.492,0.403,0.382,0.442
4.000,4.000,133.000,2.000,139.200,1.000,690.000,4.000,0.457,0.443,0.402,0.602
4.000,4.000,134.000,1.000,139.984,0.000,690.000,4.000,0.535,0.473,0.382,0.587
4.000,4.000,135.000,2.000,140.656,1.000,700.000,4.000,0.507,0.406,0.387,0.546
4.000,4.000,136.000,3.000,141.496,0.000,700.000,4.000,0.456,0.390,0.442,0.664
4.000,4.000,137.000,4.000,142.184,1.000,710.000,4.000,0.406,0.375,0.506,0.636
4.000,4.000,138.000,4.000,142.928,0.000,710.000,4.000,0.489,0.502,0.487,0.647
4.000,4.000,139.000,3.000,144.248,0.000,710.000,4.000,0.508,0.602,0.377,0.729
4.000,4.000,140.000,3.000,145.280,0.000,710.000,4.000,0.491,0.630,0.405,0.702
4.000,4.000,141.000,3.000,146.240,0.000,710.000,4.000,0.307,0.513,0.392,0.702
4.000,4.000,142.000,1.000,147.000,0.000,710.000,4.000,0.380,0.557,0.495,0.570
4.000,4.000,143.000,2.000,147.840,1.000,720.000,4.000,0.338,0.582,0.674,0.425
4.000,4.000,144.000,2.000,148.664,1.000,730.000,4.000,0.315,0.525,0.553,0.451
4.000,4.000,145.000,2.000,149.512,0.000,730.000,4.000,0.417,0.472,0.554,0.333
4.000,4.000,146.000,3.000,150.352,0.000,730.000,4.000,0.434,0.414,0.417,0.393
4.000,4.000,147.000,4.000,151.040,1.000,740.000,4.000,0.386,0.331,0.426,0.288
4.000,4.000,148.000,4.000,151.792,0.000,740.000,4.000,0.307,0.337,0.337,0.372
4.000,4.000,149.000,4.000,152.584,0.000,740.000,4.000,0.377,0.439,0.263,0.393
4.000,4.000,150.000,4.000,154.000,1.000,750.000,4.000,0.432,0.366,0.332,0.435
4.000,4.000,151.000,3.000,154.736,0.000,750.000,4.000,0.477,0.334,0.272,0.338
4.000,4.000,152.000,2.000,155.464,1.000,760.000,4.000,0.594,0.389,0.396,0.393
4.000,4.000,153.000,2.000,156.248,1.000,770.000,4.000,0.587,0.364,0.271,0.575
4.000,4.000,154.000,2.000,157.072,1.000,780.000,4.000,0.509,0.364,0.271,0.578
4.000,4.000,155.000,2.000,157.928,1.000,790.000,4.000,0.525,0.389,0.329,0.604
4.000,4.000,156.000,2.000,158.768,1.000,800.000,4.000,0.468,0.522,0.327,0.596
4.000,4.000,157.000,1.000,159.640,0.000,800.000,4.000,0.439,0.531,0.296,0.499
4.000,4.000,158.000,2.000,160.280,1.000,810.000,4.000,0.576,0.525,0.360,0.444
4.000,4.000,159.000,2.000,161.104,0.000,810.000,4.000,0.598,0.545,0.264,0.476
4.000,4.000,160.000,3.000,161.904,0.000,810.000,4.000,0.563,0.492,0.256,0.504
4.000,4.000,161.000,4.000,162.712,1.000,820.000,4.000,0.623,0.569,0.329,0.665
4.000,4.000,162.000,4.000,163.456,0.000,820.000,4.000,0.563,0.636,0.337,0.579
4.000,4.000,163.000,4.000,164.624,1.000,830.000,4.000,0.462,0.410,0.488,0.525
4.000,4.000,164.000,3.000,165.487,0.000,830.000,4.000,0.525,0.474,0.541,0.531
4.000,4.000,165.000,4.000,166.719,1.000,840.000,4.000,0.557,0.592,0.576,0.566
4.000,4.000,166.000,2.000,167.631,1.000,850.000,4.000,0.597,0.612,0.453,0.619
4.000,4.000,167.000,1.000,168.559,0.000,850.000,4.000,0.578,0.627,0.366,0.620
4.000,4.000,168.000,2.000,169.231,0.000,850.000,4.000,0.666,0.684,0.496,0.660
4.000,4.000,169.000,3.000,169.959,0.000,850.000,4.000,0.717,0.709,0.425,0.739
4.000,4.000,170.000,4.000,171.271,1.000,860.000,4.000,0.631,0.551,0.466,0.698
4.000,4.000,171.000,3.000,172.095,1.000,870.000,4.000,0.616,0.585,0.372,0.711
4.000,4.000,172.000,2.000,172.871,1.000,880.000,4.000,0.669,0.634,0.406,0.594
4.000,4.000,173.000,1.000,173.727,0.000,880.000,4.000,0.681,0.604,0.412,0.621
4.000,4.000,174.000,2.000,174.819,1.000,890.000,4.000,0.594,0.668,0.398,0.627
4.000,4.000,175.000,3.000,175.591,0.000,890.000,4.000,0.646,0.546,0.374,0.590
4.000,4.000,176.000,4.000,176.855,1.000,900.000,4.000,0.668,0.536,0.448,0.690
4.000,4.000,177.000,4.000,177.575,1.000,910.000,4.000,0.584,0.600,0.476,0.654
4.000,4.000,178.000,4.000,178.407,1.000,920.000,4.000,0.547,0.669,0.328,0.709
4.000,4.000,179.000,4.000,179.215,0.000,920.000,4.000,0.713,0.649,0.383,0.645
4.000,4.000,180.000,3.000,179.895,1.000,930.000,4.000,0.659,0.726,0.283,0.670
4.000,4.000,181.000,2.000,180.615,1.000,940.000,4.000,0.599,0.715,0.321,0.639
4.000,4.000,182.000,1.000,181.559,0.000,940.000,4.000,0.533,0.616,0.404,0.671
4.000,4.000,183.000,2.000,182.287,0.000,940.000,4.000,0.598,0.570,0.428,0.567
4.000,4.000,184.000,3.000,182.943,0.000,940.000,4.000,0.602,0.656,0.467,0.549
4.000,4.000,185.000,4.000,183.695,1.000,950.000,4.000,0.445,0.639,0.550,0.571
4.000,4.000,186.000,4.000,184.431,1.000,960.000,4.000,0.514,0.629,0.448,0.576
4.000,4.000,187.000,4.000,185.223,1.000,970.000,4.000,0.620,0.545,0.375,0.486
4.000,4.000,188.000,4.000,186.031,0.000,970.000,4.000,0.729,0.694,0.448,0.416
4.000,4.000,189.000,3.000,186.719,0.000,970.000,4.000,0.689,0.659,0.465,0.404
4.000,4.000,190.000,2.000,187.495,1.000,980.000,4.000,0.538,0.563,0.510,0.467
4.000,4.000,191.000,2.000,188.855,0.000,980.000,4.000,0.491,0.452,0.519,0.427
4.000,4.000,192.000,1.000,189.575,1.000,990.000,4.000,0.517,0.349,0.493,0.359
4.000,4.000,193.000,1.000,190.447,0.000,990.000,4.000,0.428,0.260,0.616,0.397
4.000,4.000,194.000,3.000,191.279,0.000,990.000,4.000,0.454,0.283,0.657,0.260
4.000,4.000,195.000,2.000,192.583,0.000,990.000,4.000,0.458,0.293,0.708,0.286
4.000,4.000,196.000,4.000,193.527,0.000,990.000,4.000,0.422,0.367,0.650,0.297
4.000,4.000,197.000,3.000,194.495,1.000,1000.000,4.000,0.489,0.441,0.686,0.389
4.000,4.000,198.000,3.000,195.223,0.000,1000.000,4.000,0.412,0.411,0.652,0.301
4.000,4.000,199.000,2.000,195.911,0.000,1000.000,4.000,0.360,0.371,0.658,0.305
4.000,4.000,200.000,1.000,196.607,0.000,1000.000,4.000,0.418,0.390,0.637,0.266
4.000,4.000,201.000,2.000,197.471,1.000,1010.000,4.000,0.447,0.311,0.732,0.370
4.000,4.000,202.000,4.000,198.319,1.000,1020.000,4.000,0.683,0.313,0.679,0.393
4.000,4.000,203.000,4.000,199.143,1.000,1030.000,4.000,0.732,0.369,0.636,0.576
4.000,4.000,204.000,3.000,200.103,1.000,1040.000,4.000,0.587,0.356,0.585,0.443
4.000,4.000,205.000,3.000,201.023,1.000,1050.000,4.000,0.542,0.444,0.578,0.423
4.000,4.000,206.000,4.000,201.999,0.000,1050.000,4.000,0.450,0.398,0.574,0.469
4.000,4.000,207.000,2.000,202.975,0.000,1050.000,4.000,0.391,0.449,0.674,0.473
4.000,4.000,208.000,4.000,203.647,0.000,1050.000,4.000,0.492,0.446,0.625,0.482
4.000,4.000,209.000,2.000,204.886,0.000,1050.000,4.000,0.407,0.481,0.534,0.351
4.000,4.000,210.000,1.000,205.966,1.000,1060.000,4.000,0.541,0.473,0.699,0.366
4.000,4.000,211.000,1.000,206.622,0.000,1060.000,4.000,0.583,0.508,0.592,0.382
4.000,4.000,212.000,3.000,207.486,1.000,1070.000,4.000,0.555,0.403,0.645,0.485
4.000,4.000,213.000,3.000,208.270,1.000,1080.000,4.000,0.575,0.381,0.527,0.496
4.000,4.000,214.000,3.000,209.070,0.000,1080.000,4.000,0.660,0.464,0.428,0.474
4.000,4.000,215.000,4.000,209.790,1.000,1090.000,4.000,0.746,0.459,0.407,0.631
4.000,4.000,216.000,4.000,210.526,1.000,1100.000,4.000,0.739,0.519,0.399,0.641
4.000,4.000,217.000,3.000,211.270,1.000,1110.000,4.000,0.666,0.551,0.271,0.609
4.000,4.000,218.000,2.000,212.078,1.000,1120.000,4.000,0.688,0.500,0.344,0.653
4.000,4.000,219.000,1.000,212.782,1.000,1130.000,4.000,0.581,0.450,0.290,0.568
4.000,4.000,220.000,1.000,213.606,0.000,1130.000,4.000,0.714,0.459,0.401,0.323
4.000,4.000,221.000,2.000,214.302,0.000,1130.000,4.000,0.639,0.502,0.366,0.256
4.000,4.000,222.000,3.000,215.054,0.000,1130.000,4.000,0.481,0.570,0.295,0.284
4.000,4.000,223.000,4.000,215.870,1.000,1140.000,4.000,0.573,0.528,0.303,0.331
4.000,4.000,224.000,4.000,216.686,1.000,1150.000,4.000,0.615,0.550,0.276,0.272
4.000,4.000,225.000,4.000,217.494,1.000,1160.000,4.000,0.597,0.476,0.290,0.393
4.000,4.000,226.000,4.000,218.270,0.000,1160.000,4.000,0.633,0.421,0.256,0.400
4.000,4.000,227.000,4.000,219.006,1.000,1170.000,4.000,0.621,0.365,0.293,0.522
4.000,4.000,228.000,4.000,219.798,1.000,1180.000,4.000,0.605,0.408,0.336,0.531
4.000,4.000,229.000,4.000,220.550,1.000,1190.000,4.000,0.560,0.508,0.275,0.584
4.000,4.000,230.000,4.000,221.358,1.000,1200.000,4.000,0.497,0.536,0.313,0.537
4.000,4.000,231.000,4.000,222.134,0.000,1200.000,4.000,0.519,0.656,0.358,0.556
4.000,4.000,232.000,3.000,222.822,1.000,1210.000,4.000,0.445,0.721,0.277,0.495
4.000,4.000,233.000,3.000,223.614,0.000,1210.000,4.000,0.470,0.628,0.337,0.592
4.000,4.000,234.000,2.000,224.294,1.000,1220.000,4.000,0.495,0.680,0.367,0.621
4.000,4.000,235.000,1.000,225.118,0.000,1220.000,4.000,0.701,0.702,0.275,0.743
4.000,4.000,236.000,2.000,225.806,1.000,1230.000,4.000,0.651,0.606,0.304,0.724
4.000,4.000,237.000,2.000,226.566,1.000,1240.000,4.000,0.688,0.501,0.254,0.647
4.000,4.000,238.000,2.000,227.310,1.000,1250.000,4.000,0.679,0.515,0.280,0.549
4.000,4.000,239.000,2.000,228.174,1.000,1260.000,4.000,0.586,0.468,0.262,0.586
4.000,4.000,240.000,2.000,229.014,0.000,1260.000,4.000,0.432,0.434,0.250,0.584
4.000,4.000,241.000,3.000,229.774,1.000,1270.000,4.000,0.403,0.345,0.336,0.568
4.000,4.000,242.000,3.000,230.574,0.000,1270.000,4.000,0.314,0.397,0.382,0.516
4.000,4.000,243.000,4.000,231.254,0.000,1270.000,4.000,0.327,0.429,0.423,0.582
4.000,4.000,244.000,2.000,232.110,1.000,1280.000,4.000,0.326,0.521,0.320,0.739
4.000,4.000,245.000,1.000,232.814,0.000,1280.000,4.000,0.299,0.466,0.304,0.663
4.000,4.000,246.000,2.000,233.550,1.000,1290.000,4.000,0.329,0.550,0.376,0.728
4.000,4.000,247.000,3.000,234.294,1.000,1300.000,4.000,0.326,0.672,0.465,0.653
4.000,4.000,248.000,4.000,235.070,1.000,1310.000,4.000,0.327,0.585,0.297,0.609
4.000,4.000,249.000,3.000,235.870,0.000,1310.000,4.000,0.391,0.655,0.262,0.684
4.000,4.000,250.000,2.000,236.630,1.000,1320.000,4.000,0.390,0.663,0.258,0.680
