id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s,key_d,key_f
5.000,1.000,1.000,2.000,0.629,1.000,10.000,4.000,0.619,0.660,0.675,0.434
5.000,1.000,2.000,3.000,1.453,1.000,20.000,4.000,0.424,0.720,0.706,0.338
5.000,1.000,3.000,4.000,2.245,1.000,30.000,4.000,0.431,0.635,0.722,0.449
5.000,1.000,4.000,1.000,2.989,1.000,40.000,4.000,0.468,0.745,0.633,0.575
5.000,1.000,5.000,2.000,4.021,1.000,50.000,4.000,0.526,0.716,0.668,0.561
5.000,1.000,6.000,3.000,4.900,0.000,50.000,4.000,0.486,0.654,0.704,0.635
5.000,1.000,7.000,4.000,5.844,1.000,60.000,4.000,0.479,0.540,0.694,0.671
5.000,1.000,8.000,1.000,6.764,1.000,70.000,4.000,0.541,0.450,0.569,0.703
5.000,1.000,9.000,2.000,7.772,1.000,80.000,4.000,0.506,0.542,0.497,0.739
5.000,1.000,10.000,3.000,8.684,1.000,90.000,4.000,0.536,0.562,0.504,0.721
5.000,1.000,11.000,4.000,9.412,1.000,100.000,4.000,0.514,0.655,0.531,0.722
5.000,1.000,12.000,3.000,10.164,1.000,110.000,4.000,0.539,0.593,0.495,0.695
5.000,1.000,13.000,4.000,10.988,1.000,120.000,4.000,0.411,0.685,0.519,0.743
5.000,1.000,14.000,1.000,11.748,0.000,120.000,4.000,0.445,0.579,0.447,0.695
5.000,1.000,15.000,2.000,12.532,0.000,120.000,4.000,0.396,0.572,0.426,0.605
5.000,1.000,16.000,3.000,13.228,0.000,120.000,4.000,0.259,0.552,0.413,0.566
5.000,1.000,17.000,2.000,14.228,1.000,130.000,4.000,0.296,0.472,0.283,0.600
5.000,1.000,18.000,1.000,14.972,0.000,130.000,4.000,0.272,0.566,0.287,0.665
5.000,1.000,19.000,3.000,15.804,0.000,130.000,4.000,0.303,0.501,0.344,0.708
5.000,1.000,20.000,4.000,16.452,1.000,140.000,4.000,0.260,0.363,0.288,0.730
5.000,1.000,21.000,4.000,17.252,1.000,150.000,4.000,0.256,0.419,0.310,0.650
5.000,1.000,22.000,1.000,17.932,0.000,150.000,4.000,0.268,0.414,0.347,0.623
5.000,1.000,23.000,3.000,18.764,1.000,160.000,4.000,0.435,0.377,0.322,0.588
5.000,1.000,24.000,2.000,19.508,1.000,170.000,4.000,0.428,0.482,0.277,0.555
5.000,1.000,25.000,4.000,20.956,1.000,180.000,4.000,0.510,0.396,0.331,0.554
5.000,1.000,26.000,3.000,22.076,0.000,180.000,4.000,0.524,0.347,0.316,0.674
5.000,1.000,27.000,2.000,22.852,1.000,190.000,4.000,0.554,0.476,0.386,0.710
5.000,1.000,28.000,1.000,23.796,1.000,200.000,4.000,0.305,0.519,0.325,0.650
5.000,1.000,29.000,4.000,24.612,0.000,200.000,4.000,0.387,0.646,0.265,0.636
5.000,1.000,30.000,3.000,25.564,1.000,210.000,4.000,0.391,0.434,0.353,0.673
5.000,1.000,31.000,2.000,26.476,0.000,210.000,4.000,0.389,0.400,0.337,0.675
5.000,1.000,32.000,1.000,27.412,0.000,210.000,4.000,0.315,0.575,0.427,0.563
5.000,1.000,33.000,3.000,28.436,1.000,220.000,4.000,0.322,0.603,0.510,0.469
5.000,1.000,34.000,3.000,29.588,0.000,220.000,4.000,0.321,0.643,0.452,0.382
5.000,1.000,35.000,4.000,30.276,0.000,220.000,4.000,0.260,0.654,0.526,0.325
5.000,1.000,36.000,2.000,31.035,1.000,230.000,4.000,0.322,0.510,0.493,0.250
5.000,1.000,37.000,1.000,32.036,0.000,230.000,4.000,0.400,0.460,0.531,0.274
5.000,1.000,38.000,2.000,32.995,1.000,240.000,4.000,0.382,0.448,0.645,0.299
5.000,1.000,39.000,3.000,33.699,0.000,240.000,4.000,0.433,0.538,0.556,0.396
5.000,1.000,40.000,4.000,34.643,0.000,240.000,4.000,0.378,0.526,0.488,0.491
5.000,1.000,41.000,2.000,35.683,0.000,240.000,4.000,0.343,0.561,0.422,0.508
5.000,1.000,42.000,2.000,37.163,1.000,250.000,4.000,0.298,0.485,0.444,0.658
5.000,1.000,43.000,4.000,38.099,1.000,260.000,4.000,0.407,0.571,0.422,0.594
5.000,1.000,44.000,3.000,38.899,0.000,260.000,4.000,0.267,0.361,0.425,0.487
5.000,1.000,45.000,4.000,40.027,0.000,260.000,4.000,0.284,0.275,0.324,0.502
5.000,1.000,46.000,1.000,41.091,0.000,260.000,4.000,0.316,0.287,0.399,0.543
5.000,1.000,47.000,3.000,42.083,0.000,260.000,4.000,0.326,0.348,0.361,0.526
5.000,1.000,48.000,2.000,43.083,1.000,270.000,4.000,0.497,0.381,0.415,0.559
