id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
6.000,4.000,1.000,1.000,0.612,1.000,10.000,2.000,0.684,0.578
6.000,4.000,2.000,1.000,1.292,0.000,10.000,2.000,0.713,0.526
6.000,4.000,3.000,2.000,2.492,1.000,20.000,2.000,0.624,0.473
6.000,4.000,4.000,2.000,3.244,1.000,30.000,2.000,0.583,0.605
6.000,4.000,5.000,2.000,3.820,0.000,30.000,2.000,0.496,0.515
6.000,4.000,6.000,2.000,4.444,0.000,30.000,2.000,0.603,0.437
6.000,4.000,7.000,1.000,4.996,1.000,40.000,2.000,0.555,0.479
6.000,4.000,8.000,1.000,5.652,1.000,50.000,2.000,0.573,0.424
6.000,4.000,9.000,1.000,6.324,1.000,60.000,2.000,0.543,0.532
6.000,4.000,10.000,1.000,6.988,1.000,70.000,2.000,0.555,0.632
6.000,4.000,11.000,1.000,7.619,0.000,70.000,2.000,0.600,0.721
6.000,4.000,12.000,2.000,8.235,0.000,70.000,2.000,0.556,0.618
6.000,4.000,13.000,2.000,8.827,0.000,70.000,2.000,0.602,0.563
6.000,4.000,14.000,2.000,9.411,0.000,70.000,2.000,0.594,0.468
6.000,4.000,15.000,2.000,9.955,0.000,70.000,2.000,0.677,0.447
6.000,4.000,16.000,1.000,11.051,1.000,80.000,2.000,0.730,0.413
6.000,4.000,17.000,1.000,11.731,0.000,80.000,2.000,0.744,0.447
6.000,4.000,18.000,2.000,12.339,1.000,90.000,2.000,0.698,0.436
6.000,4.000,19.000,2.000,13.499,1.000,100.000,2.000,0.591,0.502
6.000,4.000,20.000,2.000,14.163,1.000,110.000,2.000,0.556,0.554
6.000,4.000,21.000,2.000,14.867,1.000,120.000,2.000,0.592,0.520
6.000,4.000,22.000,2.000,15.475,1.000,130.000,2.000,0.454,0.539
6.000,4.000,23.000,2.000,16.083,0.000,130.000,2.000,0.448,0.463
6.000,4.000,24.000,2.000,16.707,1.000,140.000,2.000,0.446,0.423
6.000,4.000,25.000,2.000,17.395,0.000,140.000,2.000,0.411,0.504
6.000,4.000,26.000,2.000,17.955,1.000,150.000,2.000,0.455,0.478
6.000,4.000,27.000,2.000,18.603,1.000,160.000,2.000,0.377,0.609
6.000,4.000,28.000,2.000,19.259,0.000,160.000,2.000,0.383,0.602
6.000,4.000,29.000,2.000,19.947,0.000,160.000,2.000,0.336,0.606
6.000,4.000,30.000,1.000,21.019,0.000,160.000,2.000,0.347,0.636
6.000,4.000,31.000,2.000,21.787,1.000,170.000,2.000,0.283,0.678
6.000,4.000,32.000,2.000,22.939,1.000,180.000,2.000,0.355,0.719
6.000,4.000,33.000,2.000,23.563,1.000,190.000,2.000,0.357,0.743
6.000,4.000,34.000,2.000,24.315,1.000,200.000,2.000,0.517,0.690
6.000,4.000,35.000,2.000,25.027,1.000,210.000,2.000,0.478,0.637
6.000,4.000,36.000,2.000,25.659,1.000,220.000,2.000,0.478,0.648
6.000,4.000,37.000,2.000,26.307,1.000,230.000,2.000,0.516,0.515
6.000,4.000,38.000,2.000,26.955,1.000,240.000,2.000,0.583,0.533
6.000,4.000,39.000,2.000,27.579,0.000,240.000,2.000,0.630,0.472
6.000,4.000,40.000,2.000,28.227,1.000,250.000,2.000,0.530,0.426
6.000,4.000,41.000,2.000,29.067,0.000,250.000,2.000,0.682,0.391
6.000,4.000,42.000,2.000,29.651,0.000,250.000,2.000,0.734,0.282
6.000,4.000,43.000,2.000,30.235,1.000,260.000,2.000,0.682,0.252
6.000,4.000,44.000,2.000,30.883,0.000,260.000,2.000,0.676,0.292
6.000,4.000,45.000,2.000,31.483,0.000,260.000,2.000,0.517,0.398
6.000,4.000,46.000,2.000,32.051,1.000,270.000,2.000,0.521,0.455
6.000,4.000,47.000,2.000,32.699,1.000,280.000,2.000,0.617,0.489
6.000,4.000,48.000,2.000,33.443,0.000,280.000,2.000,0.527,0.352
6.000,4.000,49.000,2.000,34.035,1.000,290.000,2.000,0.519,0.386
6.000,4.000,50.000,2.000,34.667,0.000,290.000,2.000,0.542,0.588
6.000,4.000,51.000,2.000,35.283,1.000,300.000,2.000,0.489,0.666
6.000,4.000,52.000,2.000,35.915,1.000,310.000,2.000,0.326,0.732
6.000,4.000,53.000,2.000,36.539,1.000,320.000,2.000,0.439,0.539
6.000,4.000,54.000,2.000,37.139,1.000,330.000,2.000,0.402,0.455
6.000,4.000,55.000,2.000,37.803,1.000,340.000,2.000,0.391,0.528
6.000,4.000,56.000,2.000,38.483,0.000,340.000,2.000,0.390,0.450
6.000,4.000,57.000,1.000,39.171,0.000,340.000,2.000,0.317,0.362
6.000,4.000,58.000,1.000,39.779,1.000,350.000,2.000,0.301,0.364
6.000,4.000,59.000,1.000,40.411,0.000,350.000,2.000,0.265,0.459
6.000,4.000,60.000,1.000,40.987,0.000,350.000,2.000,0.282,0.396
6.000,4.000,61.000,2.000,41.547,1.000,360.000,2.000,0.275,0.445
6.000,4.000,62.000,2.000,42.171,0.000,360.000,2.000,0.338,0.363
6.000,4.000,63.000,2.000,42.779,0.000,360.000,2.000,0.479,0.344
6.000,4.000,64.000,2.000,43.347,0.000,360.000,2.000,0.369,0.346
6.000,4.000,65.000,2.000,43.915,1.000,370.000,2.000,0.496,0.440
6.000,4.000,66.000,2.000,44.587,1.000,380.000,2.000,0.421,0.490
6.000,4.000,67.000,2.000,45.283,1.000,390.000,2.000,0.426,0.446
6.000,4.000,68.000,2.000,45.947,1.000,400.000,2.000,0.437,0.531
6.000,4.000,69.000,2.000,46.619,0.000,400.000,2.000,0.556,0.515
6.000,4.000,70.000,2.000,47.307,0.000,400.000,2.000,0.646,0.493
6.000,4.000,71.000,2.000,47.923,1.000,410.000,2.000,0.690,0.401
6.000,4.000,72.000,2.000,48.555,0.000,410.000,2.000,0.612,0.356
6.000,4.000,73.000,2.000,49.155,1.000,420.000,2.000,0.630,0.465
6.000,4.000,74.000,2.000,49.819,0.000,420.000,2.000,0.681,0.465
6.000,4.000,75.000,1.000,50.467,1.000,430.000,2.000,0.648,0.565
6.000,4.000,76.000,1.000,51.107,1.000,440.000,2.000,0.739,0.482
6.000,4.000,77.000,1.000,51.731,1.000,450.000,2.000,0.626,0.402
6.000,4.000,78.000,1.000,52.395,1.000,460.000,2.000,0.669,0.360
6.000,4.000,79.000,1.000,52.995,1.000,470.000,2.000,0.629,0.381
6.000,4.000,80.000,1.000,53.627,1.000,480.000,2.000,0.712,0.415
6.000,4.000,81.000,1.000,54.203,1.000,490.000,2.000,0.640,0.445
6.000,4.000,82.000,1.000,54.843,0.000,490.000,2.000,0.735,0.478
6.000,4.000,83.000,2.000,55.611,0.000,490.000,2.000,0.597,0.458
6.000,4.000,84.000,2.000,56.203,1.000,500.000,2.000,0.519,0.572
6.000,4.000,85.000,2.000,56.963,0.000,500.000,2.000,0.538,0.552
6.000,4.000,86.000,2.000,57.554,1.000,510.000,2.000,0.594,0.511
6.000,4.000,87.000,2.000,58.186,0.000,510.000,2.000,0.553,0.438
6.000,4.000,88.000,2.000,59.299,0.000,510.000,2.000,0.645,0.348
6.000,4.000,89.000,2.000,59.946,0.000,510.000,2.000,0.632,0.354
6.000,4.000,90.000,1.000,60.546,0.000,510.000,2.000,0.734,0.353
6.000,4.000,91.000,1.000,61.202,1.000,520.000,2.000,0.701,0.441
6.000,4.000,92.000,1.000,61.858,1.000,530.000,2.000,0.737,0.527
6.000,4.000,93.000,1.000,62.514,1.000,540.000,2.000,0.747,0.373
6.000,4.000,94.000,1.000,63.130,1.000,550.000,2.000,0.722,0.549
6.000,4.000,95.000,1.000,63.754,0.000,550.000,2.000,0.656,0.665
6.000,4.000,96.000,1.000,64.370,0.000,550.000,2.000,0.548,0.652
6.000,4.000,97.000,2.000,64.954,1.000,560.000,2.000,0.570,0.748
6.000,4.000,98.000,2.000,65.618,0.000,560.000,2.000,0.546,0.664
6.000,4.000,99.000,2.000,66.202,0.000,560.000,2.000,0.604,0.653
6.000,4.000,100.000,2.000,66.770,1.000,570.000,2.000,0.586,0.511
6.000,4.000,101.000,1.000,68.066,1.000,580.000,2.000,0.536,0.388
6.000,4.000,102.000,1.000,69.226,0.000,580.000,2.000,0.474,0.298
6.000,4.000,103.000,1.000,69.834,0.000,580.000,2.000,0.379,0.269
6.000,4.000,104.000,1.000,70.402,0.000,580.000,2.000,0.323,0.315
6.000,4.000,105.000,2.000,71.434,0.000,580.000,2.000,0.421,0.330
6.000,4.000,106.000,2.000,72.010,0.000,580.000,2.000,0.593,0.253
6.000,4.000,107.000,2.000,73.050,0.000,580.000,2.000,0.370,0.321
6.000,4.000,108.000,1.000,74.074,0.000,580.000,2.000,0.380,0.445
6.000,4.000,109.000,1.000,74.682,0.000,580.000,2.000,0.278,0.326
6.000,4.000,110.000,1.000,75.490,0.000,580.000,2.000,0.410,0.380
6.000,4.000,111.000,1.000,76.274,1.000,590.000,2.000,0.319,0.504
6.000,4.000,112.000,1.000,76.970,0.000,590.000,2.000,0.290,0.492
6.000,4.000,113.000,1.000,77.570,0.000,590.000,2.000,0.351,0.472
6.000,4.000,114.000,1.000,78.186,1.000,600.000,2.000,0.561,0.510
6.000,4.000,115.000,1.000,78.922,1.000,610.000,2.000,0.527,0.463
6.000,4.000,116.000,1.000,79.554,0.000,610.000,2.000,0.578,0.542
6.000,4.000,117.000,1.000,80.154,1.000,620.000,2.000,0.649,0.550
6.000,4.000,118.000,1.000,80.818,1.000,630.000,2.000,0.657,0.566
6.000,4.000,119.000,1.000,81.394,0.000,630.000,2.000,0.591,0.486
6.000,4.000,120.000,1.000,82.050,0.000,630.000,2.000,0.560,0.559
6.000,4.000,121.000,2.000,82.698,1.000,640.000,2.000,0.490,0.608
6.000,4.000,122.000,2.000,83.322,1.000,650.000,2.000,0.480,0.663
6.000,4.000,123.000,2.000,83.962,1.000,660.000,2.000,0.574,0.657
6.000,4.000,124.000,2.000,84.586,1.000,670.000,2.000,0.664,0.695
6.000,4.000,125.000,2.000,85.210,1.000,680.000,2.000,0.640,0.706
6.000,4.000,126.000,2.000,85.762,0.000,680.000,2.000,0.597,0.698
6.000,4.000,127.000,2.000,86.418,1.000,690.000,2.000,0.630,0.612
6.000,4.000,128.000,1.000,87.042,1.000,700.000,2.000,0.664,0.491
6.000,4.000,129.000,2.000,87.730,0.000,700.000,2.000,0.574,0.263
6.000,4.000,130.000,1.000,88.322,1.000,710.000,2.000,0.630,0.292
6.000,4.000,131.000,1.000,88.954,1.000,720.000,2.000,0.546,0.384
6.000,4.000,132.000,1.000,89.586,1.000,730.000,2.000,0.517,0.384
6.000,4.000,133.000,1.000,90.194,1.000,740.000,2.000,0.467,0.307
6.000,4.000,134.000,1.000,90.882,0.000,740.000,2.000,0.510,0.296
6.000,4.000,135.000,1.000,91.490,1.000,750.000,2.000,0.424,0.274
6.000,4.000,136.000,1.000,92.202,0.000,750.000,2.000,0.291,0.306
6.000,4.000,137.000,1.000,92.754,1.000,760.000,2.000,0.318,0.365
6.000,4.000,138.000,1.000,93.394,0.000,760.000,2.000,0.299,0.330
6.000,4.000,139.000,1.000,94.058,0.000,760.000,2.000,0.273,0.411
6.000,4.000,140.000,2.000,94.746,0.000,760.000,2.000,0.375,0.512
6.000,4.000,141.000,1.000,95.834,1.000,770.000,2.000,0.458,0.543
6.000,4.000,142.000,1.000,96.474,0.000,770.000,2.000,0.440,0.549
6.000,4.000,143.000,1.000,97.026,1.000,780.000,2.000,0.523,0.625
6.000,4.000,144.000,2.000,97.674,1.000,790.000,2.000,0.505,0.496
6.000,4.000,145.000,1.000,98.418,1.000,800.000,2.000,0.669,0.400
6.000,4.000,146.000,2.000,99.170,0.000,800.000,2.000,0.668,0.430
6.000,4.000,147.000,1.000,100.298,1.000,810.000,2.000,0.665,0.415
6.000,4.000,148.000,1.000,100.938,0.000,810.000,2.000,0.669,0.396
6.000,4.000,149.000,1.000,101.586,1.000,820.000,2.000,0.662,0.258
6.000,4.000,150.000,1.000,102.266,1.000,830.000,2.000,0.564,0.287
6.000,4.000,151.000,1.000,102.898,0.000,830.000,2.000,0.589,0.260
6.000,4.000,152.000,1.000,103.490,1.000,840.000,2.000,0.600,0.333
6.000,4.000,153.000,1.000,104.146,1.000,850.000,2.000,0.537,0.338
6.000,4.000,154.000,1.000,104.906,1.000,860.000,2.000,0.598,0.373
6.000,4.000,155.000,1.000,105.570,1.000,870.000,2.000,0.417,0.631
6.000,4.000,156.000,1.000,106.314,1.000,880.000,2.000,0.393,0.715
6.000,4.000,157.000,1.000,107.050,0.000,880.000,2.000,0.460,0.727
6.000,4.000,158.000,1.000,107.642,1.000,890.000,2.000,0.394,0.651
6.000,4.000,159.000,1.000,108.465,0.000,890.000,2.000,0.424,0.694
6.000,4.000,160.000,1.000,109.034,0.000,890.000,2.000,0.580,0.714
6.000,4.000,161.000,1.000,109.697,1.000,900.000,2.000,0.540,0.635
6.000,4.000,162.000,2.000,110.393,0.000,900.000,2.000,0.522,0.651
6.000,4.000,163.000,2.000,111.017,1.000,910.000,2.000,0.499,0.654
6.000,4.000,164.000,2.000,111.641,0.000,910.000,2.000,0.571,0.704
6.000,4.000,165.000,2.000,112.209,1.000,920.000,2.000,0.534,0.717
6.000,4.000,166.000,2.000,112.897,1.000,930.000,2.000,0.536,0.746
6.000,4.000,167.000,2.000,113.617,0.000,930.000,2.000,0.427,0.562
6.000,4.000,168.000,2.000,114.169,0.000,930.000,2.000,0.407,0.550
6.000,4.000,169.000,1.000,115.329,0.000,930.000,2.000,0.320,0.537
6.000,4.000,170.000,1.000,116.169,1.000,940.000,2.000,0.350,0.587
6.000,4.000,171.000,1.000,116.913,1.000,950.000,2.000,0.441,0.574
6.000,4.000,172.000,1.000,117.537,0.000,950.000,2.000,0.403,0.547
6.000,4.000,173.000,1.000,118.289,0.000,950.000,2.000,0.457,0.491
6.000,4.000,174.000,2.000,118.905,1.000,960.000,2.000,0.555,0.499
6.000,4.000,175.000,2.000,119.617,0.000,960.000,2.000,0.599,0.600
6.000,4.000,176.000,2.000,120.273,1.000,970.000,2.000,0.667,0.589
