id,block,response,time_response,reward,points,key_a,key_s
1.000,1.000,1.000,0.803,1.000,10.000,0.898,0.699
1.000,1.000,1.000,1.725,0.000,10.000,0.749,0.744
1.000,1.000,1.000,2.863,1.000,20.000,0.831,0.798
1.000,1.000,1.000,3.715,1.000,30.000,0.808,0.826
1.000,1.000,1.000,4.602,1.000,40.000,0.801,0.834
1.000,1.000,1.000,5.479,0.000,40.000,0.593,0.840
1.000,1.000,1.000,7.218,0.000,40.000,0.530,0.859
1.000,1.000,2.000,7.855,1.000,50.000,0.427,0.769
1.000,1.000,2.000,8.752,0.000,50.000,0.367,0.792
1.000,1.000,1.000,9.705,1.000,60.000,0.319,0.758
1.000,1.000,1.000,10.672,0.000,60.000,0.388,0.720
1.000,1.000,2.000,11.564,1.000,70.000,0.355,0.747
1.000,1.000,2.000,12.511,1.000,80.000,0.437,0.802
1.000,1.000,2.000,13.431,1.000,90.000,0.490,0.721
1.000,1.000,2.000,14.360,1.000,100.000,0.487,0.686
1.000,1.000,2.000,15.282,1.000,110.000,0.403,0.657
1.000,1.000,2.000,16.146,1.000,120.000,0.386,0.707
1.000,1.000,2.000,17.064,1.000,130.000,0.396,0.634
1.000,1.000,2.000,17.967,1.000,140.000,0.385,0.522
1.000,1.000,2.000,18.813,0.000,140.000,0.433,0.434
1.000,1.000,2.000,19.822,0.000,140.000,0.344,0.464
1.000,1.000,2.000,20.838,1.000,150.000,0.254,0.373
1.000,1.000,2.000,22.051,0.000,150.000,0.244,0.482
1.000,1.000,1.000,23.028,0.000,150.000,0.274,0.417
1.000,1.000,2.000,23.976,0.000,150.000,0.272,0.395
1.000,1.000,1.000,24.879,0.000,150.000,0.356,0.382
1.000,1.000,2.000,25.680,1.000,160.000,0.204,0.370
1.000,1.000,2.000,26.592,0.000,160.000,0.224,0.316
1.000,1.000,2.000,27.510,1.000,170.000,0.185,0.387
1.000,1.000,2.000,28.457,1.000,180.000,0.272,0.436
1.000,1.000,2.000,29.399,1.000,190.000,0.339,0.477
1.000,1.000,2.000,30.291,1.000,200.000,0.412,0.532
1.000,1.000,2.000,31.304,1.000,210.000,0.471,0.584
