id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s
4.000,3.000,1.000,1.000,4.132,1.000,10.000,2.000,0.565,0.696
4.000,3.000,2.000,1.000,5.396,1.000,20.000,2.000,0.481,0.749
4.000,3.000,3.000,1.000,6.740,1.000,30.000,2.000,0.426,0.734
4.000,3.000,4.000,1.000,7.836,1.000,40.000,2.000,0.375,0.749
4.000,3.000,5.000,1.000,9.068,1.000,50.000,2.000,0.363,0.612
4.000,3.000,6.000,1.000,10.812,1.000,60.000,2.000,0.331,0.469
4.000,3.000,7.000,1.000,11.964,0.000,60.000,2.000,0.269,0.480
4.000,3.000,8.000,2.000,12.844,1.000,70.000,2.000,0.322,0.441
4.000,3.000,9.000,1.000,14.715,1.000,80.000,2.000,0.365,0.559
4.000,3.000,10.000,1.000,16.372,1.000,90.000,2.000,0.369,0.626
4.000,3.000,11.000,1.000,18.099,0.000,90.000,2.000,0.367,0.651
4.000,3.000,12.000,2.000,18.811,1.000,100.000,2.000,0.290,0.619
4.000,3.000,13.000,1.000,20.331,0.000,100.000,2.000,0.330,0.569
4.000,3.000,14.000,2.000,21.563,1.000,110.000,2.000,0.441,0.482
4.000,3.000,15.000,2.000,22.723,0.000,110.000,2.000,0.464,0.537
4.000,3.000,16.000,1.000,23.427,1.000,120.000,2.000,0.485,0.394
4.000,3.000,17.000,1.000,24.283,1.000,130.000,2.000,0.449,0.330
4.000,3.000,18.000,2.000,25.435,0.000,130.000,2.000,0.257,0.381
4.000,3.000,19.000,1.000,26.467,0.000,130.000,2.000,0.394,0.376
4.000,3.000,20.000,2.000,27.507,0.000,130.000,2.000,0.423,0.431
4.000,3.000,21.000,1.000,28.675,1.000,140.000,2.000,0.367,0.545
4.000,3.000,22.000,1.000,29.803,1.000,150.000,2.000,0.321,0.571
4.000,3.000,23.000,1.000,30.867,0.000,150.000,2.000,0.330,0.595
4.000,3.000,24.000,2.000,31.755,1.000,160.000,2.000,0.396,0.559
4.000,3.000,25.000,2.000,32.619,1.000,170.000,2.000,0.435,0.531
4.000,3.000,26.000,1.000,33.603,1.000,180.000,2.000,0.440,0.577
4.000,3.000,27.000,2.000,34.635,1.000,190.000,2.000,0.525,0.506
4.000,3.000,28.000,1.000,35.611,0.000,190.000,2.000,0.472,0.510
4.000,3.000,29.000,1.000,36.587,0.000,190.000,2.000,0.516,0.629
4.000,3.000,30.000,1.000,37.299,0.000,190.000,2.000,0.478,0.531
4.000,3.000,31.000,1.000,37.995,1.000,200.000,2.000,0.570,0.202
4.000,3.000,32.000,1.000,38.803,1.000,210.000,2.000,0.598,0.279
4.000,3.000,33.000,1.000,39.651,1.000,220.000,2.000,0.579,0.258
4.000,3.000,34.000,2.000,40.555,0.000,220.000,2.000,0.546,0.294
4.000,3.000,35.000,1.000,41.411,0.000,220.000,2.000,0.392,0.352
4.000,3.000,36.000,2.000,42.659,0.000,220.000,2.000,0.520,0.426
4.000,3.000,37.000,2.000,43.739,0.000,220.000,2.000,0.555,0.430
4.000,3.000,38.000,2.000,45.291,1.000,230.000,2.000,0.579,0.410
4.000,3.000,39.000,1.000,46.219,0.000,230.000,2.000,0.663,0.422
4.000,3.000,40.000,2.000,47.155,0.000,230.000,2.000,0.668,0.486
4.000,3.000,41.000,1.000,48.267,0.000,230.000,2.000,0.492,0.434
4.000,3.000,42.000,1.000,49.259,1.000,240.000,2.000,0.477,0.324
4.000,3.000,43.000,1.000,50.419,0.000,240.000,2.000,0.438,0.340
4.000,3.000,44.000,2.000,51.323,0.000,240.000,2.000,0.339,0.330
4.000,3.000,45.000,2.000,52.147,0.000,240.000,2.000,0.376,0.331
4.000,3.000,46.000,1.000,53.683,0.000,240.000,2.000,0.322,0.311
4.000,3.000,47.000,1.000,54.642,0.000,240.000,2.000,0.314,0.258
4.000,3.000,48.000,2.000,55.602,0.000,240.000,2.000,0.313,0.293
4.000,3.000,49.000,2.000,56.810,0.000,240.000,2.000,0.454,0.406
4.000,3.000,50.000,1.000,57.642,0.000,240.000,2.000,0.500,0.417
4.000,3.000,51.000,1.000,58.578,1.000,250.000,2.000,0.459,0.360
