id,block,trial,response,time_response,reward,points,num_choices,key_a,key_s,key_d,key_f
4.000,1.000,1.000,3.000,4.720,1.000,10.000,4.000,0.619,0.660,0.675,0.434
4.000,1.000,2.000,4.000,5.704,0.000,10.000,4.000,0.424,0.720,0.706,0.338
4.000,1.000,3.000,1.000,8.008,1.000,20.000,4.000,0.431,0.635,0.722,0.449
4.000,1.000,4.000,1.000,8.784,1.000,30.000,4.000,0.468,0.745,0.633,0.575
4.000,1.000,5.000,1.000,10.136,1.000,40.000,4.000,0.526,0.716,0.668,0.561
4.000,1.000,6.000,1.000,10.936,0.000,40.000,4.000,0.486,0.654,0.704,0.635
4.000,1.000,7.000,3.000,11.848,1.000,50.000,4.000,0.479,0.540,0.694,0.671
4.000,1.000,8.000,3.000,13.096,1.000,60.000,4.000,0.541,0.450,0.569,0.703
4.000,1.000,9.000,1.000,13.984,1.000,70.000,4.000,0.506,0.542,0.497,0.739
4.000,1.000,10.000,2.000,15.107,1.000,80.000,4.000,0.536,0.562,0.504,0.721
4.000,1.000,11.000,4.000,15.856,1.000,90.000,4.000,0.514,0.655,0.531,0.722
4.000,1.000,12.000,4.000,17.215,1.000,100.000,4.000,0.539,0.593,0.495,0.695
4.000,1.000,13.000,3.000,18.024,1.000,110.000,4.000,0.411,0.685,0.519,0.743
4.000,1.000,14.000,2.000,18.832,0.000,110.000,4.000,0.445,0.579,0.447,0.695
4.000,1.000,15.000,1.000,19.944,0.000,110.000,4.000,0.396,0.572,0.426,0.605
4.000,1.000,16.000,2.000,21.503,1.000,120.000,4.000,0.259,0.552,0.413,0.566
4.000,1.000,17.000,3.000,22.255,0.000,120.000,4.000,0.296,0.472,0.283,0.600
4.000,1.000,18.000,2.000,23.799,1.000,130.000,4.000,0.272,0.566,0.287,0.665
4.000,1.000,19.000,2.000,24.663,0.000,130.000,4.000,0.303,0.501,0.344,0.708
4.000,1.000,20.000,3.000,26.103,0.000,130.000,4.000,0.260,0.363,0.288,0.730
4.000,1.000,21.000,4.000,27.303,1.000,140.000,4.000,0.256,0.419,0.310,0.650
4.000,1.000,22.000,4.000,28.087,1.000,150.000,4.000,0.268,0.414,0.347,0.623
