id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f
1.000,4.000,1.000,0.502,1.000,10.000,0.749,0.496,0.264,0.440
1.000,4.000,1.000,1.354,1.000,20.000,0.747,0.439,0.313,0.376
1.000,4.000,1.000,2.191,1.000,30.000,0.713,0.425,0.399,0.481
1.000,4.000,1.000,3.093,1.000,40.000,0.663,0.389,0.287,0.519
1.000,4.000,1.000,3.934,1.000,50.000,0.593,0.325,0.255,0.397
1.000,4.000,1.000,4.812,0.000,50.000,0.686,0.385,0.276,0.316
1.000,4.000,3.000,5.910,0.000,50.000,0.525,0.464,0.306,0.398
1.000,4.000,4.000,6.933,0.000,50.000,0.493,0.458,0.407,0.418
1.000,4.000,2.000,7.820,0.000,50.000,0.480,0.523,0.361,0.420
1.000,4.000,2.000,8.637,1.000,60.000,0.610,0.594,0.366,0.547
1.000,4.000,2.000,9.494,1.000,70.000,0.639,0.565,0.372,0.722
1.000,4.000,2.000,10.356,0.000,70.000,0.599,0.436,0.392,0.676
1.000,4.000,3.000,11.248,1.000,80.000,0.551,0.491,0.493,0.661
1.000,4.000,3.000,12.090,1.000,90.000,0.588,0.396,0.549,0.628
1.000,4.000,3.000,13.002,0.000,90.000,0.599,0.527,0.569,0.635
1.000,4.000,1.000,13.870,1.000,100.000,0.555,0.492,0.537,0.517
1.000,4.000,1.000,14.742,0.000,100.000,0.545,0.385,0.541,0.645
1.000,4.000,2.000,15.589,1.000,110.000,0.575,0.481,0.526,0.581
1.000,4.000,2.000,16.451,0.000,110.000,0.552,0.589,0.483,0.435
1.000,4.000,4.000,17.363,0.000,110.000,0.452,0.521,0.521,0.342
1.000,4.000,3.000,18.300,0.000,110.000,0.359,0.549,0.443,0.358
1.000,4.000,1.000,19.193,0.000,110.000,0.357,0.418,0.476,0.409
1.000,4.000,1.000,20.125,1.000,120.000,0.485,0.570,0.547,0.343
1.000,4.000,1.000,21.057,1.000,130.000,0.422,0.633,0.536,0.300
1.000,4.000,1.000,21.949,0.000,130.000,0.452,0.653,0.523,0.270
1.000,4.000,2.000,22.816,1.000,140.000,0.451,0.691,0.492,0.333
1.000,4.000,2.000,23.678,0.000,140.000,0.403,0.677,0.492,0.449
1.000,4.000,3.000,24.601,0.000,140.000,0.322,0.652,0.605,0.468
1.000,4.000,4.000,25.598,1.000,150.000,0.288,0.584,0.668,0.459
1.000,4.000,4.000,26.495,1.000,160.000,0.339,0.655,0.580,0.433
1.000,4.000,4.000,27.382,0.000,160.000,0.381,0.566,0.531,0.384
1.000,4.000,2.000,28.224,0.000,160.000,0.398,0.650,0.670,0.276
1.000,4.000,3.000,29.092,1.000,170.000,0.446,0.727,0.600,0.333
1.000,4.000,3.000,29.939,1.000,180.000,0.570,0.655,0.612,0.393
