id,block,response,time_response,reward,points,key_a,key_s,key_d,key_f
1.000,3.000,1.000,0.550,1.000,10.000,0.630,0.614,0.622,0.606
1.000,3.000,1.000,1.437,1.000,20.000,0.499,0.631,0.511,0.599
1.000,3.000,1.000,2.313,1.000,30.000,0.473,0.650,0.553,0.580
1.000,3.000,1.000,3.186,0.000,30.000,0.621,0.683,0.560,0.689
1.000,3.000,2.000,4.118,0.000,30.000,0.547,0.603,0.712,0.537
1.000,3.000,3.000,5.014,1.000,40.000,0.507,0.636,0.663,0.531
1.000,3.000,3.000,5.937,1.000,50.000,0.486,0.610,0.736,0.541
1.000,3.000,3.000,6.867,1.000,60.000,0.445,0.596,0.694,0.532
1.000,3.000,3.000,7.719,1.000,70.000,0.376,0.707,0.596,0.507
1.000,3.000,3.000,8.601,1.000,80.000,0.417,0.606,0.630,0.625
1.000,3.000,3.000,9.468,1.000,90.000,0.291,0.531,0.574,0.668
1.000,3.000,3.000,10.390,1.000,100.000,0.369,0.603,0.513,0.681
1.000,3.000,3.000,11.187,0.000,100.000,0.269,0.541,0.463,0.739
1.000,3.000,4.000,12.120,0.000,100.000,0.345,0.510,0.472,0.698
1.000,3.000,2.000,13.091,1.000,110.000,0.341,0.467,0.541,0.620
1.000,3.000,2.000,14.049,0.000,110.000,0.337,0.417,0.562,0.640
1.000,3.000,1.000,14.961,1.000,120.000,0.403,0.411,0.596,0.676
1.000,3.000,1.000,15.833,0.000,120.000,0.569,0.297,0.714,0.584
1.000,3.000,3.000,16.730,1.000,130.000,0.329,0.339,0.689,0.640
1.000,3.000,2.000,17.597,0.000,130.000,0.293,0.406,0.669,0.682
1.000,3.000,1.000,18.459,1.000,140.000,0.393,0.528,0.709,0.629
1.000,3.000,3.000,19.421,1.000,150.000,0.263,0.431,0.748,0.607
1.000,3.000,3.000,20.303,1.000,160.000,0.406,0.269,0.718,0.627
1.000,3.000,3.000,21.150,1.000,170.000,0.573,0.325,0.635,0.694
1.000,3.000,3.000,22.012,0.000,170.000,0.728,0.384,0.587,0.747
1.000,3.000,3.000,22.970,0.000,170.000,0.686,0.491,0.692,0.737
1.000,3.000,1.000,23.832,1.000,180.000,0.549,0.546,0.638,0.714
1.000,3.000,1.000,24.713,0.000,180.000,0.414,0.467,0.682,0.693
1.000,3.000,2.000,25.566,0.000,180.000,0.444,0.371,0.558,0.621
